,Customer_Name,Image,Personality_traits
26,Chunky Pandey,NONE,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
27,Danny Denzongpa,NONE,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
28,Darsheel Safary,NONE,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
29,Deepak Tijori,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
31,Deepika Padukone,https://www.celebrities-galore.com/celebrities-photos/deepika-padukone.jpg,"['popular', 'attractive', 'secure', 'frugal', 'conventional', 'secure']"
32,Dimple Kapadia,https://www.celebrities-galore.com/celebrities-photos/dimple-kapadia.jpg,"['secure', 'frugal', 'conventional', 'secure']"
33,Dev Anand,NONE,"['secure', 'frugal', 'conventional', 'secure']"
34,Deepti Naval,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
35,Dilip Kumar,https://www.celebrities-galore.com/celebrities-photos/dilip-kumar.jpg,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
37,Farhan Akhtar,https://www.celebrities-galore.com/celebrities-photos/farhan-akhtar.jpg,"['secure', 'frugal', 'conventional', 'secure']"
38,Feroz Khan,NONE,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
39,Farida Jalal,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
40,Guru Dutt,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
42,Gulshan Grover,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
44,Girish Karnad,NONE,"['impressive', 'upright', 'elegant', 'charismatic', 'kind', 'aloof', 'capable', 'kind', 'sympathetic', 'helpful', 'compassionate', 'calm', 'sensitive', 'emotional', 'benevolent', 'leader']"
45,Hrithik Roshan,https://www.celebrities-galore.com/celebrities-photos/hrithik-roshan.jpg,"['attractive', 'serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
48,Irrfan Khan,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
49,Jackie Shroff,NONE,"['impressive', 'upright', 'elegant', 'charismatic', 'kind', 'aloof', 'capable', 'kind', 'sympathetic', 'helpful', 'compassionate', 'calm', 'sensitive', 'emotional', 'benevolent', 'leader']"
53,Johnny Lever,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
55,Kamal Haasan,https://www.celebrities-galore.com/celebrities-photos/kamal-haasan.jpg,"['original', 'optimistic', 'strong', 'attractive', 'athletic', 'colorful', 'sensual', 'attractive', 'exciting', 'kind', 'knowledge', 'understanding', 'capable']"
56,Kangana Ranaut,https://www.celebrities-galore.com/celebrities-photos/kangana-ranaut.jpg,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
57,Kader Khan,https://www.celebrities-galore.com/celebrities-photos/kader-khan.jpg,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
61,Kalki Koechlin,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
66,Lara Dutta,NONE,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
77,Madhuri Dixit,https://www.celebrities-galore.com/celebrities-photos/madhuri-dixit.jpg,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
79,Mithun Chakraborty,https://www.celebrities-galore.com/celebrities-photos/mithun-chakraborty.jpg,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
82,Madhubala,https://www.celebrities-galore.com/celebrities-photos/madhubala.jpg,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
83,Meena Kumari,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
84,Mala Sinha,NONE,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
86,Manoj Kumar,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
88,Naseeruddin Shah,https://www.celebrities-galore.com/celebrities-photos/naseeruddin-shah.jpg,"['impressive', 'upright', 'elegant', 'charismatic', 'kind', 'aloof', 'capable', 'kind', 'sympathetic', 'helpful', 'compassionate', 'calm', 'sensitive', 'emotional', 'benevolent', 'leader']"
89,Nandita Das,NONE,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
90,Nagarjuna Akkineni,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
91,Nana Patekar,https://www.celebrities-galore.com/celebrities-photos/nana-patekar.jpg,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
94,Nirupa Roy,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
99,Om Puri,https://www.celebrities-galore.com/celebrities-photos/om-puri.jpg,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
100,Om Prakash,NONE,"['secure', 'frugal', 'conventional', 'secure']"
103,Paresh Rawal,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
104,Priyanka Chopra,https://www.celebrities-galore.com/celebrities-photos/priyanka-chopra.jpg,"['popular', 'attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
110,Pooja Bhatt,https://www.celebrities-galore.com/celebrities-photos/pooja-bhatt.jpg,"['secure', 'frugal', 'conventional', 'secure']"
111,Pavan Malhotra,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
115,Rahul Bose,NONE,"['original', 'optimistic', 'strong', 'attractive', 'athletic', 'colorful', 'sensual', 'attractive', 'exciting', 'kind', 'knowledge', 'understanding', 'capable']"
116,Rekha,NONE,[]
118,Rajendra Kumar,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
120,Ranbir Kapoor,https://www.celebrities-galore.com/celebrities-photos/ranbir-kapoor.jpg,"['popular', 'serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
124,Raaj Kumar,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
127,Rani Mukerji,NONE,"['attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
129,Rishi Kapoor,https://www.celebrities-galore.com/celebrities-photos/rishi-kapoor.jpg,"['romantic', 'impressive', 'upright', 'elegant', 'charismatic', 'kind', 'aloof', 'capable', 'kind', 'sympathetic', 'helpful', 'compassionate', 'calm', 'sensitive', 'emotional', 'benevolent', 'leader']"
130,Rajesh Khanna,https://www.celebrities-galore.com/celebrities-photos/rajesh-khanna.jpg,"['original', 'attractive', 'charming', 'optimistic', 'romantic', 'deep', 'humorous']"
132,Raj Babbar,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
133,Raj Kapoor,https://www.celebrities-galore.com/celebrities-photos/raj-kapoor.jpg,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
136,Rakhee Gulzar,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
138,Ranvir Shorey,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
140,Rajpal Yadav,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
142,Randeep Hooda,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
144,Shabana Azmi,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
145,Shakti Kapoor,https://www.celebrities-galore.com/celebrities-photos/shakti-kapoor.jpg,"['secure', 'frugal', 'conventional', 'secure']"
147,Shah Rukh Khan,https://www.celebrities-galore.com/celebrities-photos/shahrukh-khan.jpg,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
148,Sunil Dutt,https://www.celebrities-galore.com/celebrities-photos/sunil-dutt.jpg,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
150,Shashi Kapoor,https://www.celebrities-galore.com/celebrities-photos/shashi-kapoor.jpg,"['impressive', 'upright', 'elegant', 'charismatic', 'kind', 'aloof', 'capable', 'kind', 'sympathetic', 'helpful', 'compassionate', 'calm', 'sensitive', 'emotional', 'benevolent', 'leader']"
151,Smita Patil,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
155,Shreyas Talpade,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
157,Seema Biswas,NONE,"['original', 'optimistic', 'strong', 'attractive', 'athletic', 'colorful', 'sensual', 'attractive', 'exciting', 'kind', 'knowledge', 'understanding', 'capable']"
159,Sunny Deol,https://www.celebrities-galore.com/celebrities-photos/sunny-deol.jpg,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
161,Soumitra Chatterjee,NONE,"['original', 'optimistic', 'strong', 'attractive', 'athletic', 'colorful', 'sensual', 'attractive', 'exciting', 'kind', 'knowledge', 'understanding', 'capable']"
162,Saeed Jaffrey,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
163,Shivaji Ganesan,NONE,"['secure', 'frugal', 'conventional', 'secure']"
164,Sharmila Tagore,https://www.celebrities-galore.com/celebrities-photos/sharmila-tagore.jpg,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
166,Sridevi,https://www.celebrities-galore.com/celebrities-photos/sridevi.jpg,"['impressive', 'upright', 'elegant', 'charismatic', 'kind', 'aloof', 'capable', 'kind', 'sympathetic', 'helpful', 'compassionate', 'calm', 'sensitive', 'emotional', 'benevolent', 'leader']"
167,Salman Khan,https://www.celebrities-galore.com/celebrities-photos/salman-khan.jpg,"['stylish', 'popular', 'dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
169,Sanjay Dutt,https://www.celebrities-galore.com/celebrities-photos/sanjay-dutt.jpg,"['popular', 'dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
170,Sanjeev Kumar,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
172,Sunil Shetty,NONE,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
176,Tabu,https://www.celebrities-galore.com/celebrities-photos/tabu.jpg,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
189,Vinod Khanna,https://www.celebrities-galore.com/celebrities-photos/vinod-khanna.jpg,"['active', 'understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
190,Vyjayanthimala,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
191,Vidya Balan,https://www.celebrities-galore.com/celebrities-photos/vidya-balan.jpg,"['strong', 'serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
193,Waheeda Rehman,NONE,"['serious', 'studious', 'independent', 'dignified', 'religious', 'knowledge']"
195,Zeenat Aman,https://www.celebrities-galore.com/celebrities-photos/zeenat-aman.jpg,"['modern', 'understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
196,Zohra Sehgal,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
